[Wed Nov 26 13:11:30.118809 2025] [php:notice] [pid 7700:tid 1748] [client 127.0.0.1:61609] Upload path: E:\\Rondo-Development\\api\\src/../public/images/team, referer: http://localhost:5174/
[Wed Nov 26 13:11:30.118809 2025] [php:notice] [pid 7700:tid 1748] [client 127.0.0.1:61609] Public path: /images/team, referer: http://localhost:5174/
[Wed Nov 26 13:11:30.120383 2025] [php:notice] [pid 7700:tid 1748] [client 127.0.0.1:61609] Upload path exists: YES, referer: http://localhost:5174/
[Wed Nov 26 13:11:30.214697 2025] [php:notice] [pid 7700:tid 1700] [client 127.0.0.1:56279] TeamCredentialsService initialized with:, referer: http://localhost:5174/
[Wed Nov 26 13:11:30.214697 2025] [php:notice] [pid 7700:tid 1700] [client 127.0.0.1:56279] Upload path: E:\\Rondo-Development\\api\\src/../public/images/team, referer: http://localhost:5174/
[Wed Nov 26 13:11:30.214697 2025] [php:notice] [pid 7700:tid 1700] [client 127.0.0.1:56279] Public path: /images/team, referer: http://localhost:5174/
[Wed Nov 26 13:11:30.214697 2025] [php:notice] [pid 7700:tid 1700] [client 127.0.0.1:56279] Upload path exists: YES, referer: http://localhost:5174/
[Wed Nov 26 13:11:30.237867 2025] [php:notice] [pid 7700:tid 1700] [client 127.0.0.1:56279] TeamCredentialsService initialized with:, referer: http://localhost:5174/
[Wed Nov 26 13:11:30.237867 2025] [php:notice] [pid 7700:tid 1700] [client 127.0.0.1:56279] Upload path: E:\\Rondo-Development\\api\\src/../public/images/team, referer: http://localhost:5174/
[Wed Nov 26 13:11:30.237867 2025] [php:notice] [pid 7700:tid 1700] [client 127.0.0.1:56279] Public path: /images/team, referer: http://localhost:5174/
[Wed Nov 26 13:11:30.238863 2025] [php:notice] [pid 7700:tid 1700] [client 127.0.0.1:56279] Upload path exists: YES, referer: http://localhost:5174/
[Wed Nov 26 13:11:30.334035 2025] [php:notice] [pid 7700:tid 1700] [client 127.0.0.1:56279] TeamCredentialsService initialized with:, referer: http://localhost:5174/
